"","R","FD","LFI","Crypto","DP_B_ratio","CTI","Exo","RedList","Chondri","Trophic","Commercial","High_commerc","PD","Vulner"
"SPY213513",30,9,20,7,0.75,18.5140452868,1,2,2,3.35555555555556,12,8,NA,48.03
"SPY213520",39,11,29,8,1.11111111111111,18.8304573345714,0,2,2,3.42972972972973,16,10,NA,48.361
"SPY213515",57,13,37,13,0.774193548387097,18.9923043031373,1,3,1,3.46759259259259,19,9,NA,49.9213333333333
"SPY213512",27,10,20,4,0.928571428571429,18.5714666672,0,1,0,3.40384615384615,13,8,NA,49.01625
"SPY213516",45,12,30,7,1.0952380952381,18.866301687,0,1,0,3.37790697674419,20,11,NA,44.0675
"SPY213514",56,13,38,9,0.925925925925926,19.1653001170833,0,1,0,3.48725490196078,21,11,NA,44.8215789473684
"SPY213517",61,14,41,13,0.696969696969697,19.1220257303846,0,2,0,3.49454545454545,19,11,NA,45.9244444444444
"SPY202505",63,14,39,16,0.735294117647059,18.1798525660714,2,1,1,3.38793103448276,19,11,NA,45.7086666666667
"SPY202519",50,13,36,11,0.689655172413793,18.3890833132609,2,0,1,3.4,16,10,NA,50.1616666666667
"SPY202520",57,14,39,11,0.766666666666667,18.1416755908,2,2,2,3.45288461538462,20,10,NA,48.83
"SPY213519",51,11,37,8,1,19.087140571087,0,0,0,3.47755102040816,21,10,NA,46.655
"SPY213527",20,9,18,1,1,19.5105692605556,0,1,0,3.35789473684211,11,5,NA,51.10375
"SPY213523",51,13,39,5,1.35,18.7137212486364,0,1,2,3.6195652173913,24,14,NA,48.9271428571429
"SPY213525",46,12,35,6,1.19047619047619,18.7106709251163,0,1,2,3.61111111111111,23,13,NA,47.2323529411765
"SPY213518",60,14,39,11,0.896551724137931,18.1591751669231,2,4,3,3.43518518518519,18,12,NA,44.8905882352941
"SPY213521",49,12,33,9,0.875,17.7784424761905,2,4,3,3.51136363636364,16,10,NA,46.1406666666667
"SPY213522",55,13,34,10,1.04166666666667,17.9241328406522,2,3,2,3.446875,18,12,NA,45.624375
